truth_values,adarel,svr,rf
1,1,0.998797399,0.99781168
1,1,0.998797399,0.997814067
1,1,0.998797399,0.997816119
1,1,0.998797399,0.997818479
1,1,0.998797399,0.997820455
1,1,0.998797399,0.997822919
1,1,0.998797399,0.997825182
1,1,0.998797399,0.997827736
1,1,0.998797399,0.997830136
1,1,0.998797399,0.997832511
1,1,0.998797399,0.997834846
1,1,0.998797399,0.997837253
1,1,0.998797399,0.997839703
1,1,0.998797399,0.997841803
1,1,0.998797399,0.997843104
1,1,0.998797399,0.99784534
1,1,0.998797399,0.997847512
1,1,0.998797399,0.997849119
1,1,0.998797399,0.997851269
1,1,0.998797399,0.997853429
1,1,0.998797399,0.99785537
1,1,0.998797399,0.997857714
1,1,0.998797399,0.997860498
1,1,0.998797399,0.997862779
1,1,0.998797399,0.997864792
1,1,0.998797399,0.997867558
1,1,0.998797399,0.997869671
1,1,0.998797399,0.997871763
1,1,0.998797399,0.997874068
1,1,0.998797399,0.997875602
1,1,0.998797399,0.997877359
1,1,0.998797399,0.997879573
1,1,0.998797399,0.997881969
1,0.999999984,0.998797399,0.997883848
1,1,0.998797399,0.997886023
0.998218527,1,0.998797399,0.997888091
0.996,1,0.998086855,0.994101162
0.978193146,0.99977098,0.997280512,0.994417572
0.963149079,0.996816671,0.990631707,0.725731623
0.9951045,0.998363137,0.985499198,0.977124727
0.558761805,0.994241314,0.996870062,0.996025596
0.987055016,0.997003262,0.991185887,0.9936748
0.967017544,0.993864694,0.993890332,0.994224278
0.9935164,0.985419541,0.986399953,0.900311194
0.988589212,0.985285501,0.996135628,0.99449492
0.994318182,0.979980396,0.994365387,0.95744871
0.99704317,0.985559627,0.996590168,0.994684277
0.997281553,0.9880479,0.997675212,0.992328629
0.995567376,0.991596993,0.997770956,0.995821199
0.994662921,0.992548074,0.997554848,0.995258932
0.996934083,0.995293803,0.996773151,0.856118942
0.997779423,0.991430695,0.997667912,0.991738043
0.995696789,0.99545766,0.998003994,0.993755175
0.996753247,0.9954164,0.99706337,0.979020735
0.996721311,0.99157327,0.99749397,0.992158516
1,0.991642984,0.997480914,0.99248881
0.983050847,0.992463261,0.9991279,0.997890979
1,0.994445813,0.992275714,0.966070043
0.984126984,0.991519143,0.998720344,0.997875074
0.997794928,0.994478079,0.992582669,0.991900339
0.994357367,0.99111299,0.997926626,0.995692163
0.994522576,0.993628835,0.996968285,0.995585269
0.997165131,0.991424507,0.996563856,0.99617048
0.99379123,0.991506348,0.997613439,0.993293881
0.990204082,0.99469227,0.996477331,0.991175431
0.99324134,0.994974505,0.99499361,0.992620447
0.989615784,0.993876828,0.996577576,0.991888932
0.990986214,0.994429817,0.994956281,0.990113217
0.999340007,0.993342122,0.995226445,0.992704595
0.996362167,0.994017249,0.998560398,0.993743142
0.99695122,0.993887293,0.997336517,0.951730218
0.993909627,0.994231227,0.997573402,0.9908178
0.998791979,0.994042404,0.99655581,0.995981791
0.997173145,0.999231178,0.998855779,0.995035563
0.993521991,0.996713936,0.997690186,0.994297539
0.984864301,0.995531313,0.996467064,0.992503073
0.97579758,0.993939503,0.9928997,0.993297805
0.996392496,0.992334739,0.98956976,0.950074702
1,0.993825694,0.997356118,0.985997186
0.858974359,0.995436502,0.998708061,0.99786318
1,0.993814289,0.963986967,0.9641765
0.981132075,0.995437356,0.998916309,0.99767517
0.996138996,0.99380289,0.991886235,0.991534094
0.618834081,0.994659519,0.997340767,0.993490006
